Wall time,Step,Value
1706008125.2916996,667,225.40464782714844
1706008126.2281363,668,12.581912994384766
1706008127.7268677,669,-114.66234588623047
1706008128.2928903,670,-154.92520141601562
1706008128.960328,672,-61.15773391723633
1706008129.3482993,673,-41.51639175415039
1706008129.971474,674,263.0032958984375
1706008130.5507848,675,274.304931640625
1706008130.8653004,676,21.65644073486328
1706008131.2087746,677,-12.671992301940918
1706008131.8559291,678,233.07684326171875
1706008132.4920034,679,-137.04432678222656
1706008133.1887012,680,249.41738891601562
1706008133.6124754,681,-5.95757532119751
1706008134.665668,682,-66.45063781738281
1706008135.2841249,683,-74.2551040649414
1706008135.8032217,684,-217.57571411132812
1706008136.186811,685,-11.975617408752441
1706008136.8518026,686,272.0697021484375
1706008137.3885741,687,270.90594482421875
1706008138.5301833,688,24.981517791748047
1706008142.0381694,689,276.9545593261719
1706008143.8336258,690,222.29916381835938
1706008148.6821198,691,39.490203857421875
1706008150.4776466,692,236.10772705078125
1706008152.27014,693,236.8163604736328
1706008153.137585,694,260.20941162109375
1706008154.0439293,695,285.75787353515625
1706008154.7985816,696,17.9465389251709
1706008155.5709605,697,268.5709228515625
1706008156.4696686,698,273.464599609375
1706008157.1062722,700,14.44959545135498
1706008157.3652499,701,29.229944229125977
1706008157.7632816,702,241.13076782226562
1706008158.319425,703,-81.13467407226562
1706008158.619127,704,33.095821380615234
1706008160.0699706,705,-116.8451919555664
1706008160.4867744,706,-15.887676239013672
1706008160.6490283,707,-26.66119956970215
1706008161.1763399,708,275.4407043457031
1706008161.5971482,709,-1.6203217506408691
1706008161.7881675,710,-6.556519031524658
1706008162.0230486,711,-17.667158126831055
1706008162.2368436,712,-115.34518432617188
1706008162.7759075,713,266.4787902832031
1706008163.8181458,714,256.1100158691406
1706008164.3693275,715,-36.17919158935547
1706008164.8880646,716,-126.31779479980469
1706008165.3623857,717,-220.1476287841797
1706008165.609651,718,-103.8096923828125
1706008165.8116174,719,45.66207504272461
1706008166.1819408,720,17.952917098999023
1706008166.5156653,721,-86.54083251953125
1706008170.3412817,722,167.46994018554688
1706008171.4477599,723,-179.47134399414062
1706008171.812096,724,-119.2326889038086
1706008172.2857206,725,-40.70724868774414
1706008172.6432095,726,-32.9215202331543
1706008173.134026,727,-215.81259155273438
1706008173.4002376,728,-166.5383758544922
1706008173.7441077,729,-221.54713439941406
1706008173.9800792,730,-125.01162719726562
1706008174.4644969,731,246.47032165527344
1706008175.1651728,732,-29.85313606262207
1706008175.6066718,733,239.7378692626953
1706008176.3929534,734,-137.4209747314453
1706008176.8332598,735,-48.37656021118164
1706008177.037387,736,-51.96602249145508
1706008177.3436308,737,-4.76995325088501
1706008177.821801,738,235.35284423828125
1706008179.1908457,739,-229.58050537109375
1706008179.6531122,740,231.68878173828125
1706008180.2622633,741,263.2088623046875
1706008181.0231261,742,221.8827667236328
